latitude,longitude,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles,road_name
55.00551189,-1.49341406,1.4,1.0,361.0,21857.5,48.5,4229.5,1286.0,27783.0,A19
55.0178928,-1.51046138,2.9,0.0,162.0,18800.0,45.0,4420.0,987.0,24414.0,A19
55.03442289,-1.53216411,2.7,0.0,158.0,19606.5,25.0,3724.5,956.0,24470.0,A19
51.51607778,-0.09701476,0.4,595.0,609.0,8769.0,480.0,1793.0,475.0,12126.0,A1
51.52147901,-0.09736619,0.7,539.5,609.0,5060.5,299.0,1223.0,262.0,7452.5,A1
51.52306566,-0.09816497,0.1,539.5,609.0,5060.5,299.0,1223.0,262.0,7452.5,A1
51.52420765,-0.09927063,0.8,877.5,485.0,3687.0,272.5,1349.0,351.5,6145.0,A1
51.53085172,-0.10418427,0.4,515.0,1283.0,13721.0,470.0,3754.0,588.0,19816.0,A1
51.53419534,-0.10519884,0.5,1089.5,871.0,5394.5,1457.0,1680.5,350.0,9753.0,A1
51.5395453,-0.10238097,1.3,1148.5,471.0,4493.0,522.0,1088.5,241.5,6815.5,A1
51.54861559,-0.10719595,1.1,1641.5,1090.0,8123.5,628.5,2545.5,721.0,13108.5,A1
